"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","170.32","170.36","170.75","170.30","","0.00%"
"05/27/2024","170.32","170.34","170.52","169.96","","0.04%"
"05/24/2024","170.26","169.72","170.52","169.62","","0.34%"
"05/23/2024","169.69","169.69","170.46","169.27","","0.03%"
"05/22/2024","169.64","169.51","169.96","169.37","","0.11%"
"05/21/2024","169.45","169.65","169.98","169.20","","-0.09%"
"05/20/2024","169.60","169.18","169.82","169.04","","0.24%"
"05/17/2024","169.19","168.87","169.38","168.77","","0.22%"
"05/16/2024","168.82","168.57","168.99","167.30","","0.17%"
"05/15/2024","168.53","169.26","169.41","168.06","","-0.41%"
"05/14/2024","169.22","168.52","169.46","168.46","","0.42%"
"05/13/2024","168.51","167.74","168.77","167.55","","0.42%"
"05/10/2024","167.80","167.55","167.97","167.51","","0.12%"
"05/09/2024","167.60","167.11","167.79","166.73","","0.31%"
"05/08/2024","167.08","166.38","167.37","166.23","","0.44%"
"05/07/2024","166.34","165.74","166.59","165.63","","0.39%"
"05/06/2024","165.70","164.65","166.01","164.47","","0.60%"
"05/03/2024","164.71","164.32","164.79","164.02","","-0.04%"
"05/02/2024","164.77","165.47","167.40","164.21","","-0.40%"
"05/01/2024","165.44","168.32","168.67","164.24","","-1.69%"
"04/30/2024","168.28","167.63","168.74","167.32","","0.42%"
"04/29/2024","167.57","169.35","171.47","165.65","","-1.01%"
"04/26/2024","169.28","167.05","169.41","166.46","","1.37%"
"04/25/2024","167.00","166.20","167.10","165.93","","0.50%"
"04/24/2024","166.17","165.69","166.25","165.35","","0.31%"
"04/23/2024","165.65","164.99","165.76","164.61","","0.43%"
"04/22/2024","164.94","164.77","165.13","164.38","","0.12%"
"04/19/2024","164.74","164.61","165.04","163.00","","0.10%"
"04/18/2024","164.57","164.77","164.98","164.34","","-0.10%"
"04/17/2024","164.74","164.29","164.84","163.91","","0.29%"
"04/16/2024","164.26","163.91","164.71","163.66","","0.25%"
"04/15/2024","163.85","162.93","164.47","162.71","","0.45%"
"04/12/2024","163.12","164.40","164.46","162.26","","-0.76%"
