"Date","Price","Open","High","Low","Change %"
"04/09/2024","3.717","3.717","3.717","3.717","-2.16%"
"04/08/2024","3.799","3.799","3.799","3.799","0.34%"
"04/05/2024","3.786","3.786","3.786","3.786","1.91%"
"04/04/2024","3.715","3.715","3.715","3.715","-3.08%"
"04/03/2024","3.833","3.833","3.833","3.833","0.66%"
"04/02/2024","3.808","3.808","3.808","3.808","3.56%"
"04/01/2024","3.677","3.641","3.677","3.677","0.27%"
"03/29/2024","3.667","3.641","3.667","3.657","-0.43%"
"03/28/2024","3.683","3.641","3.699","3.605","2.05%"
"03/27/2024","3.609","3.637","3.648","3.601","-1.01%"
"03/26/2024","3.646","3.679","3.689","3.625","-1.14%"
"03/25/2024","3.688","3.655","3.704","3.628","1.40%"
"03/22/2024","3.637","3.667","3.684","3.620","-0.93%"
"03/21/2024","3.671","3.691","3.704","3.639","-1.16%"
"03/20/2024","3.714","3.664","3.722","3.659","0.19%"
"03/19/2024","3.707","3.694","3.725","3.673","0.62%"
"03/18/2024","3.684","3.684","3.714","3.670","-0.46%"
"03/15/2024","3.701","3.734","3.739","3.665","0.65%"
"03/14/2024","3.677","3.604","3.696","3.527","2.48%"
"03/13/2024","3.588","3.583","3.638","3.569","-0.44%"
"03/12/2024","3.604","3.611","3.634","3.567","-0.58%"
"03/11/2024","3.625","3.559","3.653","3.552","1.34%"
"03/08/2024","3.577","3.596","3.618","3.559","-0.72%"
"03/07/2024","3.603","3.663","3.705","3.556","-1.58%"
"03/06/2024","3.661","3.714","3.733","3.654","-1.40%"
"03/05/2024","3.713","3.785","3.796","3.683","-2.88%"
"03/04/2024","3.823","3.908","3.908","3.817","-1.57%"
"03/01/2024","3.884","3.869","3.939","3.853","1.28%"
"02/29/2024","3.835","3.867","3.957","3.830","-1.52%"
"02/28/2024","3.894","3.915","3.918","3.873","-0.10%"
"02/27/2024","3.898","3.892","3.907","3.869","0.31%"
"02/26/2024","3.886","3.792","3.895","3.783","2.02%"
"02/23/2024","3.809","3.916","3.966","3.805","-2.76%"
"02/22/2024","3.917","3.958","4.004","3.890","-0.81%"
"02/21/2024","3.949","3.885","3.954","3.852","2.25%"
"02/20/2024","3.862","3.897","3.902","3.850","-1.05%"
"02/19/2024","3.903","3.889","3.911","3.862","0.44%"
"02/16/2024","3.886","3.883","3.917","3.865","0.80%"
"02/15/2024","3.855","3.816","3.858","3.797","-0.28%"
"02/14/2024","3.866","3.935","3.935","3.855","-1.90%"
"02/13/2024","3.941","3.924","3.986","3.865","0.64%"
"02/12/2024","3.916","3.930","3.945","3.891","-1.24%"
"02/09/2024","3.965","3.961","3.980","3.906","2.16%"
"02/08/2024","3.881","3.889","3.943","3.861","0.57%"
"02/07/2024","3.859","3.846","3.894","3.842","0.00%"
"02/06/2024","3.859","3.857","3.908","3.838","1.29%"
"02/05/2024","3.810","3.750","3.913","3.717","0.00%"
"02/02/2024","3.810","3.750","3.825","3.717","2.50%"
"02/01/2024","3.717","3.717","3.717","3.717","-0.27%"
"01/31/2024","3.727","3.727","3.727","3.727","-2.02%"
"01/30/2024","3.804","3.804","3.804","3.804","1.74%"
"01/29/2024","3.739","3.739","3.739","3.739","-2.25%"
"01/26/2024","3.825","3.825","3.825","3.825","-0.18%"
"01/25/2024","3.832","3.832","3.832","3.832","-1.92%"
"01/24/2024","3.907","3.907","3.907","3.907","-0.36%"
"01/23/2024","3.921","3.921","3.921","3.921","1.95%"
"01/22/2024","3.846","3.846","3.846","3.846","-0.88%"
"01/19/2024","3.880","3.880","3.880","3.880","-1.20%"
"01/18/2024","3.927","3.927","3.927","3.927","0.20%"
"01/17/2024","3.919","3.919","3.919","3.919","2.32%"
"01/16/2024","3.830","3.830","3.830","3.830","0.45%"
"01/15/2024","3.813","3.813","3.813","3.813","2.17%"
"01/12/2024","3.732","3.732","3.732","3.732","-2.23%"
"01/11/2024","3.817","3.817","3.817","3.817","-0.88%"
"01/10/2024","3.851","3.851","3.851","3.851","-0.10%"
"01/09/2024","3.855","3.855","3.855","3.855","1.10%"
"01/08/2024","3.813","3.813","3.813","3.813","-0.42%"
"01/05/2024","3.829","3.829","3.829","3.829","0.76%"
"01/04/2024","3.800","3.800","3.800","3.800","2.70%"
"01/03/2024","3.700","3.700","3.700","3.700","-0.56%"
"01/02/2024","3.721","3.721","3.721","3.721","0.73%"
"01/01/2024","3.694","3.587","3.698","3.694","-0.14%"
"12/29/2023","3.699","3.699","3.699","3.699","2.72%"
"12/28/2023","3.601","3.601","3.601","3.601","3.36%"
"12/27/2023","3.484","3.484","3.484","3.484","-1.69%"
"12/25/2023","3.544","3.607","3.546","3.544","-0.14%"
"12/22/2023","3.549","3.549","3.549","3.549","-1.03%"
"12/21/2023","3.586","3.586","3.586","3.586","-0.53%"
"12/20/2023","3.605","3.605","3.605","3.605","-1.02%"
"12/19/2023","3.642","3.642","3.642","3.642","-3.47%"
"12/18/2023","3.773","3.773","3.773","3.773","1.23%"
"12/15/2023","3.727","3.727","3.727","3.727","-1.64%"
"12/14/2023","3.789","3.789","3.789","3.789","-3.83%"
"12/13/2023","3.940","3.940","3.940","3.940","-1.62%"
"12/12/2023","4.005","4.005","4.005","4.005","-1.55%"
"12/11/2023","4.068","4.068","4.068","4.068","0.00%"
"12/08/2023","4.068","4.068","4.068","4.068","3.09%"
"12/07/2023","3.946","3.946","3.946","3.946","-0.13%"
"12/06/2023","3.951","3.951","3.951","3.951","-1.08%"
"12/05/2023","3.994","3.994","3.994","3.994","-3.03%"
"12/04/2023","4.119","4.119","4.119","4.119","0.39%"
