"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2023","70,920","69,300","70,483","69,182","15.71K","0.79%"
"12/20/2023","70,363","69,001","70,432","69,001","16.97K","0.11%"
"12/19/2023","70,285","69,174","69,848","68,901","25.28K","0.61%"
"12/18/2023","69,860","70,158","70,158","69,105","26.24K","-1.76%"
"12/14/2023","71,110","67,350","69,927","67,350","16.06K","4.18%"
"12/13/2023","68,258","66,404","67,039","66,389","22.59K","0.13%"
"12/12/2023","68,169","68,295","68,676","66,584","18.83K","-2.08%"
"12/11/2023","69,616","68,000","68,145","67,307","16.53K","0.08%"
"12/08/2023","69,560","69,205","69,250","67,770","20.69K","-1.43%"
"12/07/2023","70,572","69,399","69,417","68,735","12.19K","-0.90%"
"12/06/2023","71,211","69,741","70,045","69,543","13.13K","0.27%"
"12/05/2023","71,017","69,797","69,837","69,169","16.83K","-1.07%"
"12/04/2023","71,785","69,905","70,397","69,790","9.74K","0.40%"
"12/01/2023","71,498","70,050","70,548","69,615","15.96K","-0.14%"
"11/30/2023","71,601","69,900","70,330","69,676","15.78K","0.30%"
"11/29/2023","71,387","69,880","70,006","69,556","9.82K","-0.10%"
"11/28/2023","71,460","69,730","69,894","69,300","11.21K","0.15%"
"11/27/2023","71,356","69,706","69,981","69,573","13.36K","-0.47%"
"11/24/2023","71,690","69,506","70,148","69,216","8.68K","0.45%"
"11/23/2023","71,369","69,170","69,969","69,170","11.92K","1.18%"
"11/22/2023","70,534","68,800","69,399","68,800","11.55K","0.35%"
"11/21/2023","70,288","68,889","69,023","68,215","13.00K","-0.05%"
"11/20/2023","70,326","68,516","68,830","68,460","11.21K","0.46%"
"11/17/2023","70,004","68,197","68,630","67,898","14.17K","0.16%"
"11/16/2023","69,892","68,990","69,029","67,793","21.51K","-1.33%"
"11/15/2023","70,834","68,320","69,810","68,262","24.62K","2.02%"
"11/14/2023","69,433","66,313","68,140","66,234","20.24K","2.41%"
"11/13/2023","67,800","66,101","66,520","66,016","12.95K","0.44%"
"11/10/2023","67,506","66,485","66,485","65,525","12.51K","-1.44%"
"11/09/2023","68,495","66,750","67,040","66,186","13.83K","-0.19%"
"11/08/2023","68,628","65,996","67,189","65,996","13.51K","1.45%"
"11/07/2023","67,646","67,511","67,549","65,975","21.19K","-2.63%"
"11/06/2023","69,476","67,781","68,190","67,561","21.49K","0.45%"
"11/03/2023","69,166","66,499","67,770","66,230","22.57K","2.24%"
"11/02/2023","67,650","64,790","66,175","64,558","20.02K","2.47%"
"11/01/2023","66,018","64,661","64,661","63,891","19.15K","0.18%"
"10/31/2023","65,899","64,807","65,288","64,265","18.41K","-0.84%"
"10/30/2023","66,454","64,556","65,120","64,555","12.82K","0.74%"
"10/27/2023","65,966","65,300","65,300","64,385","12.89K","-0.77%"
"10/26/2023","66,480","64,817","65,100","64,400","19.22K","-0.47%"
"10/25/2023","66,794","65,594","65,594","64,849","18.12K","-0.53%"
"10/24/2023","67,150","65,305","65,700","65,046","16.38K","0.75%"
"10/23/2023","66,653","65,431","65,431","64,690","16.54K","-0.46%"
"10/20/2023","66,960","65,700","65,749","65,208","17.66K","-1.12%"
"10/19/2023","67,717","66,790","66,846","66,109","17.68K","-1.45%"
"10/18/2023","68,714","68,019","68,047","66,975","14.71K","-1.23%"
"10/17/2023","69,569","68,311","68,311","67,295","16.64K","-0.59%"
"10/16/2023","69,983","68,036","68,429","67,420","15.19K","0.40%"
"10/13/2023","69,707","68,205","68,437","67,811","14.68K","-0.69%"
"10/12/2023","70,194","69,291","69,529","68,253","18.65K","-0.76%"
"10/11/2023","70,731","68,504","69,150","68,504","18.90K","0.31%"
"10/10/2023","70,514","67,380","68,950","67,120","22.27K","2.97%"
"10/09/2023","68,481","67,100","67,470","66,370","15.63K","0.07%"
"10/06/2023","68,434","66,550","67,143","65,900","17.59K","0.58%"
"10/05/2023","68,036","66,190","66,604","65,669","16.53K","1.03%"
"10/04/2023","67,343","65,800","66,389","65,375","20.12K","-0.37%"
"10/03/2023","67,595","66,105","66,883","65,646","18.08K","-0.49%"
"10/02/2023","67,929","67,384","67,694","66,300","20.28K","-1.72%"
"09/29/2023","69,120","68,251","68,347","67,350","16.89K","-0.35%"
"09/28/2023","69,365","67,489","67,840","67,072","14.54K","0.50%"
"09/27/2023","69,017","67,896","68,220","67,241","11.43K","-0.60%"
"09/26/2023","69,433","67,740","68,111","67,052","19.06K","-1.18%"
"09/22/2023","70,264","68,647","68,976","68,480","18.02K","0.33%"
"09/21/2023","70,032","69,150","69,150","68,172","23.23K","-2.15%"
"09/20/2023","71,570","69,615","70,040","68,705","17.88K","1.43%"
"09/19/2023","70,563","69,046","69,451","68,925","31.71K","-0.32%"
"09/18/2023","70,790","69,772","69,926","69,121","22.02K","-0.93%"
"09/15/2023","71,456","70,189","70,448","69,815","4.25K","-0.04%"
"09/14/2023","71,484","69,046","69,989","68,841","1.03K","1.87%"
"09/13/2023","70,174","69,023","69,023","68,443","0.09K","-0.89%"
"09/12/2023","70,801","69,219","69,393","68,961","0.04K","0.02%"
"09/11/2023","70,787","68,149","68,827","68,124","12.68K","0.69%"
"09/08/2023","70,303","68,846","68,846","68,846","0.15K","0.58%"
"09/07/2023","69,896","68,120","68,130","67,378","0.01K","-1.55%"
"09/06/2023","70,997","68,886","68,988","68,365","0.00K","-1.00%"
"09/05/2023","71,712","69,194","69,272","68,416","15.31K","-0.42%"
"09/04/2023","72,018","69,388","69,835","69,102","13.06K","0.93%"
"09/01/2023","71,353","68,799","69,477","68,660","18.45K","-0.21%"
